0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:34 -0600] "GET /metaplay/audio/retrieve?id=13&filename=Summertime%20Clothes HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:34 -0600] "GET /metaplay/audio/retrieve?id=11&filename=My%20Girls HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:34 -0600] "GET /metaplay/audio/retrieve?id=15&filename=Bluish HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=16&filename=Guys%20Eyes HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=17&filename=Taste HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=21&filename=Ffunny%20Ffriends HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=19&filename=No%20More%20Runnin HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=18&filename=Lion%20in%20a%20Coma HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:35 -0600] "GET /metaplay/audio/retrieve?id=20&filename=Brother%20Sport HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:02:36 -0600] "GET /metaplay/audio/retrieve?id=22&filename=Ready%20For%20The%20Weekend HTTP/1.1" 200 7178
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/track/add HTTP/1.1" 200 11528
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/js/trackAdd.js HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/js/populateTrackAdd.js HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/js/validateTrack.js HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:09 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:10 -0600] "GET /metaplay/resources/img/fatherjohn.gif HTTP/1.1" 200 237300
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/artist/add HTTP/1.1" 200 16352
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/js/artistAdd.js HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:26 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:03:27 -0600] "GET /metaplay/resources/img/tuneyards.gif HTTP/1.1" 200 129519
0:0:0:0:0:0:0:1 - - [14/Oct/2015:10:15:27 -0600] "POST /metaplay/artist/save HTTP/1.1" 302 -
