0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/js/accountProfile.js HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:24 -0700] "GET /metaplay/resources/img/rashad.gif HTTP/1.1" 200 40158
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:25 -0700] "GET /metaplay/image/retrieve?foldername=profilePictures&filename=Cup HTTP/1.1" 200 8285
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:27 -0700] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/audio/upload HTTP/1.1" 200 6965
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/js/populateTrackAdd.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/js/trackAdd.js HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/js/validateTrack.js HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:29 -0700] "GET /metaplay/resources/img/tuneyards.gif HTTP/1.1" 200 40965
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:30 -0700] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:31 -0700] "GET /metaplay/track/404 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:31 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:31 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:31 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:31 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:32 -0700] "GET /metaplay/resources/js/404.js HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:32 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:32 -0700] "GET /metaplay/resources/img/draketennis.gif HTTP/1.1" 200 8406539
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:32 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:32 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:33 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:33 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:33 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:33 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:34 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:34 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:34 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:35 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:35 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:35 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:36 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:36 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:36 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:36 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:37 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:37 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:37 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:38 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:38 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:38 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:39 -0700] "GET /metaplay/resources/img/tinyDrake.gif HTTP/1.1" 200 5470
